id,lat,lon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c
2908,52.4836089,13.4557681,"2",,,"Kita Treptower Straße",0,1108,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
546279,52.4716406,13.5175207,"2","6",,"Kita Treskowallee",0,1053,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,undefined,undefined
472,52.60034,13.36371,"2","2",,"Kita Treuenbrietzener Straße",0,717,0,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,16:00
756229,52.5401969,13.6057662,"3",,,"Kita Trickmännchen",0,1120,1,0,0,0,0,0,0,0,0,0,0
466129,52.480796,13.330549,"3","4|6",,"Kita Tübinger Straße",0,722,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
586329,52.4803778,13.3597304,"2",,"3","Kita Tulpen",0,994,2,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30
1970,52.46231,13.59342,,,,"Kita Uhlenhorster Str. 27/Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2270,52.48584,13.58006,,,,"Kita Ulmenstr. 79/Kigä NordOst",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2519,52.51017539999999,13.3976249,"15","0|1|3|4|6|5","5","Kita Umka",0,766,1,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00
748229,52.55386,13.36557,,,,"Kita Umpa Lumpa",0,1121,1,0,0,0,0,0,0,0,0,0,0
1735,52.5513833,13.173193,"2",,,"Kita und Familienzentrum Fantasia",0,726,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2018,52.5129068,13.5267925,"2","2",,"Kita- und Familienzentrum Gensinger Str.",0,564,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
706229,52.42021,13.30722,,,,"Kita Undinchen",0,1122,1,07:30,16:30,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
1218,52.4263304,13.2269027,"0","2",,"Kita Unionhilfswerk ",0,1123,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:00
363,52.54909,13.3739,"10|4|2","2|3|4",,"Kita Unionhilfswerk ",0,1123,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
1180,52.57342569999999,13.3760456,"0",,,"Kita Unionhilfswerk ",0,1123,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
1473,52.59204,13.35739,"22",,"6","Kita Unionhilfswerk ",0,1123,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
1540,52.4956904,13.4272009,"0","2",,"Kita Unionhilfswerk ",0,1123,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,16:30
2648,52.4532523,13.2885484,"0|3","2|3","1","Kita Unionhilfswerk ",0,1123,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
2907,52.480543,13.4525932,"10|4","2|4",,"Kita Unionhilfswerk ",0,1123,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
208129,52.4534093,13.6209004,"2",,,"Kita Unser kreatives Traumzauberland",0,1119,1,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
296179,52.4473235,13.2978935,,,,"Kita Unter den Eichen",1,1124,1,0,0,0,0,0,0,0,0,0,0
511,52.4473235,13.2978935,,,,"Kita Unter den Eichen 129a/Kitas Süd-West",0,709,0,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30
632229,52.5395352,13.4253634,"13","0|4",,"Kita unterm Regenschirm",0,1015,1,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00
2410,52.48882,13.41793,"2|3","2",,"Kita Urbanstr. 48k/Kigä City",0,37,0,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,16:00
2411,52.48961,13.41998,"2","3",,"Kita Urbanstr. 62/Kigä City",0,37,0,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,16:00
1167,52.4040618,13.5038357,"8",,,"Kita Ursulinchen",0,770,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
1402,52.475303,13.44113,"4",,,"Kita Uthmannstr. 17/Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2522,52.4984,13.42412,"11","2|3",,"Kita VAK - Verein zur Förderung ",0,1045,1,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,16:00
683329,52.5923362,13.3506574,,,,"Kita Varius Sol",0,1125,1,0,0,0,0,0,0,0,0,0,0
225,52.40739,13.52879,,,,"Kita Venusstraße 59 / Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2929,52.4767935,13.2962036,"2","1|3|4|6","1","Kita Verein für berufsorientierte",0,1126,1,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00
952,52.5319081,13.3483383,,,,"Kita Verein für praktische Pädagogik",0,1127,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
